รายวิชาเพิ่มเติม ม.5  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,,
ว30265,ลมฟ้าอากาศและสภาพอากาศสุดขั้ว,1,2,"ศึกษาปรากฎการณ์ที่เป็นพื้นฐานของการเกิดและ
การเปลี่ยนแปลงลมฟ้าอากาศ ผ่านกระบวนการลงมือปฏิบัติ อภิปราย ทำการทดลอง สร้างแบบจำลองเพื่ออธิบายปัจจัยที่ทำให้เกิดเมฆ ทำการทดลองเพื่ออธิบายผลของละอองลอย เมฆ แก๊สเรือนกระจก อัตราส่วนการสะท้อน สัณฐาณและการเอียงของแกนหมุนโลกที่ส่งผลต่อการรับพลังงานของโลก และฝึกวิเคราะห์ข้อมูลจากปรากฏการณ์ลมฟ้าอากาศสุดขั้วที่ส่งผลต่อการดำรงชีวิตของมนุษย์ เช่น พายุหมุนเขตร้อน ทอร์นาโด พายุฤดูร้อน คลื่นความร้อน โพลาร์วอร์เท็กซ์ ฯลฯ พร้อมวิธีการปรับตัวและรับมือผลกระทบที่เกิดขึ้นเพื่อให้สามารถอยู่ร่วมกับธรรมชาติได้อย่างยั่งยืน","อ.ดร.วิชญาดา / 
อ.วิทยา",1,วิทย์-คณิต,35,-,,,✔,✔,,,,,,,,,,,,,,
ว30292,ภารกิจพิชิตอวกาศ 2,1,2,"เรียนรู้การใช้ประโยชน์จากเทคโนโลยีอวกาศ ฐานข้อมูลภาพถ่ายจากดาวเทียม การใช้ข้อมูลจากดาวเทียมควบคู่การใช้งานโปรแกรม Google Earth ในการจัดทำภูมิสารสนเทศเบื้องต้น การออกแบบและวางแผนส่งสร้างดาวเทียมขนาดเล็กสู่
วงโคจรระดับต่ำ ผ่านโปรแกรม ESA DRAMA และ Orbit Architech เพื่อให้นักเรียนพัฒนาความรู้ความเข้าใจเกี่ยวกับการใช้งานเทคโนโลยีอวกาศและสามารถประยุกต์ใช้ความรู้ทางวิทยาศาสตร์ ภูมิศาสตร์ ฟิสิกส์ กระบวนการทางวิศวกรรมและเทคโนโลยีอวกาศในการสร้างแบบจำลองและจัดกระทำข้อมูลอย่างเป็นระบบได้",อ.ปิยาภรณ์,1,วิทย์-คณิต,20,-,,,,,,,,,,✔,✔,,,,,,,
ว32252,ชีววิทยา 2,1.5,3,"ศึกษาและปฏิบัติการเกี่ยวกับโครงสร้างและหน้าที่ของราก ลำต้น ใบของพืชดอก กระบวนการสังเคราะห์ด้วยแสง ปฏิกิริยาและรงควัตถุที่ใช้ในกระบวนการสังเคราะห์ด้วยแสง 
การแลกเปลี่ยนแก๊ส การคายน้ำ และการลำเลียงแร่ธาตุ 
การลำเลียงอาหารของพืช โครงสร้างของพืชดอก การสร้างเซลล์สืบพันธุ์ของพืชดอก การถ่ายละอองเรณู และการปฏิสนธิ 
การตอบสนองของพืชต่อสิ่งแวดล้อมและต่อสารเคมีในพืช",ผศ.น้ำผึ้ง,1,วิทย์-คณิต,35,-,,,,,,,,,✔,,,,,✔,✔,,,
,,,,,อ.สายสวาท,2,วิทย์-คณิต,35,,,,,,,,,,✔,,,,,✔,✔,,,
,,,,,"อ.ดร.โอภาส / 
ผศ.น้ำผึ้ง",3,วิทย์-คณิต,35,,,,,,,,,,,,✔,,,,,,✔,✔
,,,,,อ.ศุจิกา,4,วิทย์-คณิต,35,,,,,,,,,,,,✔,,,,,,✔,✔
ว32285,CUD-EP ชีววิทยา 2,1.5,3,,"T.Christian / 
อ.สายสวาท",1,EP,10,เฉพาะนักเรียนโครงการ CUD-EP,✔,,,,,,,,,,,,,,,,✔,✔
ว30251,ชีววิทยา CUD AP 1,1,2,ศึกษาเรื่องการเจริญเติบโตของสัตว์ และการเจริญเติบโตของมนุษย์ การรับรู้ และการตอบสนองของสิ่งมีชีวิตเซลล์เดียว และสัตว์บางชนิด ระบบประสาท อวัยวะรับความรู้สึก และ ระบบต่อมไร้ท่อของมนุษย์ กลไกการเกิดพฤติกรรมของสัตว์ และประเภทพฤติกรรมของสัตว์ และการสื่อสารระหว่างสัตว์ โดยใช้กระบวนการทางวิทยาศาสตร์ และมีจิตวิทยาศาสตร์ จริยธรรม คุณธรรม และค่านิยมที่เหมาะสม,ผศ.น้ำผึ้ง,1,วิทย์-คณิต,10,เฉพาะนักเรียนโครงการ CUD-AP,,,✔,✔,,,,,,,,,,,,,,
ว30233,เคมี 3,2,4,ศึกษาและทดลองเกี่ยวกับความสัมพันธ์ระหว่าง ปริมาตร อุณหภูมิ ความดันและจำนวนโมลของแก๊ส ความดันย่อย ทฤษฎีจลน์ ศึกษาความหมาย การคำนวณและแนวคิดเกี่ยวกับอัตราการเกิดปฏิกิริยาเคมี ปัจจัยที่ส่งผลต่ออัตราการเกิดปฏิกิริยาเคมี ศึกษาความหมายของสมดุลเคมี การคำนวณค่าคงที่สมดุล,อ.ธาริณี,1,วิทย์-คณิต,35,-,,,✔,✔,,,,,,,,,,,,,✔,✔
,,,,,อ.จักรกฤต,2,วิทย์-คณิต,35,,,,✔,✔,,,,,,,,,,,,,✔,✔
