รายวิชาเพิ่มเติม ม.3  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
ส23231,นักประวัติศาสตร์น้อย,1,2,"ศึกษาความคิดทางประวัติศาสตร์ วิธีการทางประวัติศาสตร์ ความสำคัญของเวลา การเป็นและกระบวนการทำงานของ
นักประวัติศาสตร์ ประเด็นทางประวัติศาสตร์ไทยและโลกที่ตนสนใจ มิติการเปลี่ยนแปลง และกระบวนทัศน์ทางประวัติศาสตร์",อ.พลอยสิริ,1,35,-,,,,,✔,✔,,
ส23233,สิ่งแวดล้อมที่รัก,1,2,"ศึกษาความสัมพันธ์ระหว่างมนุษย์กับสิ่งแวดล้อม การปรับตัวของมนุษย์ต่อสภาพแวดล้อมที่สะท้อนออกมาในลักษณะสังคมวัฒนธรรม สถานการณ์ปัญหาสิ่งแวดล้อมโลก สาเหตุและผลของปัญหาสิ่งแวดล้อมโลก การเป็นผู้ผลิตและผู้บริโภคที่มีจิตสำนึกต่อสิ่งแวดล้อม การลงมือปฏิบัติเพื่อแก้ปัญหาสิ่งแวดล้อม โดยใช้กระบวนการสืบค้นข้อมูล  กิจกรรมกลุ่ม
การคิดวิเคราะห์ การอภิปราย การทัศนศึกษา",อ.พิสิษฐ,1,35,-,,,✔,✔,,,,
ส23234,วิชาพารวย,1,2,ศึกษาคุณค่าและประโยชน์ของเงิน การตั้งเป้าหมายทางการเงิน การวางแผนเพื่อบรรลุเป้าหมายทางการเงิน การจัดการเงินตามบริบทของตนเองในชีวิตประจำวัน การเลือกผลิตภัณฑ์และบริการทางการเงิน แนวทางการออมและการลงทุนในระดับเยาวชน,อ.กมลชนก,1,35,-,,,,,✔,✔,,
"กลุ่มสาระการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,
พ23237,ว่ายน้ำเพื่อการแข่งขัน 1 ,1,2,"ศึกษาความรู้ทั่วไปเกี่ยวกับระเบียบกติกา มารยาทใน
การแข่งขันการว่ายน้ำในท่าและระยะการว่ายต่าง ๆ ได้อย่าง
ถูกต้องเหมาะสม รวมทั้งรู้วิธีการฝึกซ้อมเพื่อการแข่งขันต่าง ๆ ตามลำดับขั้น สามารถเรียนรู้และเข้าใจเรื่องของการออกแบบการและการวางแผนฝึกซ้อมตลอดทั้งปีที่ถูกต้องตามหลักการ ตลอดจนสามารถแนะนำผู้อื่นและนำความรู้ไปใช้ในแข่งขันได้",อ.ดร.ธานินทร์ ,1,10,-,,,✔,✔,,,,
พ23248,แฮนด์บอลเพื่อการแข่งขัน 1,1,2,มุ่งเน้นการใช้กิจกรรมแฮนด์บอลเป็นสื่อเพื่อพัฒนาความสามัคคีในกลุ่มนักเรียน และยอมรับกติกาที่ตั้งขึ้นทั้งภายในห้องเรียน และกติกาของกีฬา พัฒนาสมรรถภาพทางกายเพื่อสุขภาพ และสมรรถภาพทางกลไกที่สำคัญกับการดำรงชีวิต และเล่นกีฬาพัฒนาความรู้ความสามารถ และการแก้ไขปัญหาเฉพาะหน้าที่เกิดขึ้นในขณะเล่นกีฬา รวมทั้งวิธีปฐมพยาบาลเบื้องต้นเมื่อเกิดการบาดเจ็บในการเล่นกีฬา และการดำรงชีวิต,อ.ดร.ฐิติวัสส์ ,1,25,-,,,,,✔,✔,,
พ23232,แบดมินตันเบื้องต้น ,1,2,ศึกษาความรู้ทั่วไปเกี่ยวกับประวัติและประโยชน์ของกีฬาแบดมินตัน ระเบียบกติกามารยาทและวิธีการเล่น การจับไม้ ทักษะการตีลูกหน้ามือ-หลังมือ การควบคุมบังคับทิศทางของลูก ทักษะการตบลูก การหยอด การตีลูกดาด การส่งลูก ทักษะการเล่นประเภทเดี่ยว ประเภทคู่ และประเภทคู่ผสม โดยมีจุดมุ่งหมายเพื่อให้นักเรียนสามารถนำไปใช้เล่นในเวลาว่างได้,อ.วชิรวิทย์,1,20,-,,,✔,✔,,,,
พ23243,ฮอกกี้ 5 คน,1,2,"มุ่งเน้นให้นักเรียนได้ออกกำลังกายผ่านการเล่นกีฬาฮอกกี้ ได้ฝึกทักษะกีฬาฮอกกี้ ประเภท 5 คน เรียนรู้กติกาการแข่งขันกีฬาฮอกกี้ 5 คน สามารถนำทักษะการทำงานร่วมกับผู้อื่นมาปรับใช้ในชีวิตประจำวัน มีสุขภาพกาย และจิตใจที่สมบูรณ์ 
รู้จักใช้เวลาว่างให้เป็นประโยชน์",อ.ฉฏาธร ,1,25,-,,,✔,✔,,,,
พ23264,บาสเกตบอล 3 คนเบื้องต้น,1,2,"ศึกษาเกี่ยวกับหลักการ วิธีการในการเล่นกีฬาบาสเกตบอล 3 คน เบื้องต้น พร้อมทั้งมีการ ปฏิบัติตามกฎ กติกา ร่วมมือใน
การเล่นกีฬาและการทำงานเป็นทีมอย่างสนุกสนาน การมีน้ำใจนักกีฬา และมีสมรรถภาพทางกายที่ดี หลักการ รูปแบบการเคลื่อนที่แบบต่าง ๆ  ตลอดจนนำหลักความรู้ที่ได้ไปเชื่อมโยงสัมพันธ์กับการออกกำลังกายในชีวิตประจำวัน",อ.ฮานาฟีย์ ,1,25,-,✔,✔,,,,,,
พ23240,การเล่นทีมซอฟท์บอล 2,1,2,ฝึกทักษะและเทคนิคการเป็นฝ่ายรุก ในการเล่นซอฟต์บอล,อ.สุพัฒน์พงศ์,1,25,-,,,✔,✔,,,,
