รายวิชาเพิ่มเติม ม.6  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,,อังคาร,,,,,พุธ,,,,,พฤหัสบดี,,ศุกร์,,,,
ค33241,การเขียนบทความวิจัย,0.5,1,"ฝึกฝนการยกระดับงานวิจัยสู่บทความวิชาการมาตรฐานสากล ตั้งแต่การเขียนบทคัดย่อจนถึงการอภิปรายผลด้วยภาษาที่
น่าเชื่อถือ พร้อมเทคนิคการอ้างอิงและการเรียบเรียงอย่างมืออาชีพ เพื่อผลิตผลงานที่พร้อมสำหรับการนำเสนอและตีพิมพ์ในระดับสูงต่อไป","อ.ดร.ภัทรภร / 
อ.ดร.กรวรรณ",1,ทุกกลุ่ม,8,"เรียนรวม
ม.4-6",,,,,,,,,,,,,,,,,✔,,,,,
กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ว33254,ชีววิทยา 4,1.5,3,ศึกษาเรื่องการเจริญเติบโตของสัตว์และการเจริญเติบโตของมนุษย์ ระบบประสาทและอวัยวะรับความรู้สึก และการตอบสนองต่อสิ่งเร้าของสิ่งมีชีวิตเซลล์เดียวและสัตว์บางชนิด ศึกษาการทดลองเพื่ออธิบายหน้าที่ของฮอร์โมนจากระบบต่อมไร้ท่อของมนุษย์ กลไกการเกิดพฤติกรรมของสัตว์และการสื่อสารระหว่างสัตว์ โดยใข้กระบวนการทางวิทยาศาสตร์และมีจิตวิทยาศาสตร์,ผศ.น้ำผึ้ง,1,วิทย์-คณิต,35,-,,,,,,,,,,,✔,✔,,,,,,✔,,,,
,,,,,อ.นัยนา,2,วิทย์-คณิต,35,,,✔,✔,,,,,,,,,,,,,,,,,,,✔
,,,,,อ.นัยนา,3,วิทย์-คณิต,35,,✔,,,,,,,,,,,,,✔,✔,,,,,,,
ว30235,เคมี 5,2,4,"ศึกษา ทดลอง เกี่ยวกับ สารประกอบอินทรีย์ หมู่ฟังก์ชัน 
การเขียนสูตร การเรียกชื่อ สมบัติทางกายภาพและสมบัติทางเคมีของสารอินทรีย์ประเภทต่าง ๆ การนำไปใช้ประโยชน์และอันตรายของสารประกอบอินทรีย์บางชนิด ศึกษาเกี่ยวกับ
มอนอเมอร์ พอลิเมอร์ ปฏิกิริยาในการสังเคราะห์พอลิเมอร์ และผลิตภัณฑ์พอลิเมอร์",อ.พรพรหม,1,วิทย์-คณิต,35,-,,,,✔,✔,,,,,,,,✔,,,,,,,,✔,
,,,,,อ.พรพรหม,2,วิทย์-คณิต,35,,,,,,,✔,✔,,,,,,,,,✔,✔,,,,,
,,,,,อ.รัฏฏิกา,3,วิทย์-คณิต,35,,,✔,✔,,,,,,,,,,✔,,,,,,,,✔,
ว30214,ฟิสิกส์ 4,1.5,3,ศึกษาความรู้และทดลองเกี่ยวกับไฟฟ้าสถิต ไฟฟ้ากระแส สนามแม่เหล็กและไฟฟ้า (ไฟฟ้ากระแสสลับ) และสภาพยืดหยุ่น ,อ.วรรณา,1,วิทย์-คณิต,35,-,,✔,✔,,,,,,,,,,,,,,,,,,,✔
,,,,,อ.พรเทพ,2,วิทย์-คณิต,35,,✔,,,,,,,,,,,,,✔,✔,,,,,,,
