รายวิชาเพิ่มเติม ม.6  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,,อังคาร,,,,,พุธ,,,,,พฤหัสบดี,,ศุกร์,,,,
ส33260,ประเด็นในโลกร่วมสมัย,1,2,"ศึกษาประเด็นในสังคมโลกร่วมสมัยในมิติด้านการเมือง เศรษฐกิจ สังคมวัฒนธรรม และสิ่งแวดล้อม และแนวโน้มของสังคมในอนาคต เหตุการณ์และบริบทสำคัญที่มีผลต่อการเปลี่ยนแปลงของโลกร่วมสมัย โอกาส ความท้าทาย และความเชื่อมโยงของเหตุการณ์ทั้งในประเทศ ภูมิภาค และโลก
ตลอดจนการวิเคราะห์ผลกระทบของเหตุการณ์ในสังคมที่มี
ต่อการดำเนินชีวิตประจำวัน",อ.ดร.สิริภัทร,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,✔,,,,,,,,✔,
ส33250,"ศาสตร์แห่งความสุขและ
การมองโลก",0.5,1,"ศึกษาแนวคิดเกี่ยวกับความดี ความสุข การตัดสินคุณค่าของ
การกระทำในมิติกฎหมาย สังคมและวัฒนธรรม การมอง
โลกและชีวิต อุดมคติของชีวิต การก าหนดเป้าหมายชีวิตและแนวทางแสวงหาความสุขในโลกร่วมสมัย การรับมือกับ
ความทุกข์ การสูญเสีย ความเศร้าและความตาย",อ.ดร.กนก,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,✔,,,,,,,,,
ส30233,เศรษฐศาสตร์น่ารู้,1,2,"ศึกษาความรู้เศรษฐศาสตร์เบื้องต้น ประเด็นเศรษฐกิจใน
ชีวิตประจำวัน และการทำธุรกิจเบื้องต้น ","อ.ดร.พิเศษพร / 
อ.ชยวัฒน์ / 
อ.นลิน",1,ทุกกลุ่ม,30,"นักเรียนที่เคยลงทะเบียนรายวิชานี้ใน 
ม.4-5 ห้าม
ลงทะเบียนเรียนซ้ำ",,,,,,,,,,,,,,,,✔,✔,,,,,
ส30241,เศรษฐกิจหมุนเวียน,1,2,เรียนรู้หลักการแนวคิดและกรอบการดำเนินงานของเศรษฐกิจหมุนเวียน บทบาทของสังคมในการขับเคลื่อนเศรษฐกิจหมุนเวียนเพื่อการพัฒนาอย่างยั่งยืน,"อ.นวพรรณ / 
อ.สุประดิษฐ์ / 
อ.ดร.สุจิตรา /
อ.วรุณ ",1,ทุกกลุ่ม,30,-,,,,,,,,,✔,✔,,,,,,,,,,,,
"กลุ่มสาระการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
พ33242,สบาย ๆ ผ่อนคลายด้วยธรรมชาติบำบัด,0.5,1,ศึกษา ค้นคว้า องค์ความรู้ ตลอดจนฝึกปฏิบัติการดูแลสุขภาพด้วยการจัดระเบียบและเสริมสร้างร่างกาย และการจัดกิจกรรมสุขภาพด้วยธรรมชาติบำบัด เพื่อนำมาใช้ปรับปรุงและแก้ไขปัญหาสุขภาพทั้งของตนเอง คนในครอบครัว และบุคคลอื่นในสังคม ตลอดจนตระหนักถึงความสำคัญและเห็นคุณค่าของการนำความรู้ด้านสุขภาพไปใช้ในชีวิตประจำวัน จนมีทัศนคติที่ถูกต้องเกี่ยวกับพฤติกรรมสุขภาพ,อ.จารุวรรณ,1,ทุกกลุ่ม,30,-,✔,,,,,,,,,,,,,,,,,,,,,
พ33238,ว่ายน้ำเพื่อสุขภาพ,1,2,"ศึกษาความรู้ทั่วไปเกี่ยวกับประวัติความเป็นมา ประโยชน์
ของการว่ายน้ำ ระเบียบกติกา มารยาท ทักษะการลอยตัว 
การเคลื่อนไหวในน้ำ การมีทักษะพื้นฐานของการว่ายน้ำอย่างถูกต้อง",อ.ดร.ธานินทร์ ,1,ทุกกลุ่ม,10,-,,,,,,,,,,,,,,✔,✔,,,,,,,
พ33231,ความปลอดภัยในการเล่นกีฬา,0.5,1,ศึกษาการตรวจสอบความปลอดภัยของอุปกรณ์และสถานที่เล่นกีฬา ความปลอดภัยในการทำกิจกรรมกลางแจ้ง การป้องกันอุบัติเหตุในงานแข่งขันกีฬา รวมไปถึงเรียนรู้เกี่ยวกับชนิดและกลไกการบาดเจ็บจากการกีฬา การประเมินการบาดเจ็บจากการกีฬา การป้องกันการบาดเจ็บขณะฝึกและแข่งขัน อุปกรณ์การป้องกันการบาดเจ็บ การฟื้นฟูสภาพการบาดเจ็บ,อ.ดร.ชญาภัสร์ ,1,ทุกกลุ่ม,25,-,,,,,,,,,,,,,✔,,,,,,,,,
พ33270,การจัดการกีฬาและธุรกิจกีฬา,1,2,"ศึกษาเกี่ยวกับประโยชน์ของกีฬาความเชื่อมกีฬากับชีวิต
รวมถึงหน่วยงานต่างๆที่เกี่ยวข้องกับกีฬาทั้งในและต่างประเทศ และความรู้พื้นฐานด้านธุรกิจ การสร้างรายได้ในยุคอดีตจนถึงปัจจุบัน จากนั้นนำมาทำการวิเคราะห์เพื่อให้ผู้เรียนได้ออกแบบ หรือนำพาตนเองเข้าไปสร้างรายได้ด้วยการใช้กีฬา ทั้งในส่วนของการเป็นผู้ประกอบการ หรือการนำพาตนเองไปอยู่ในองค์ธุรกิจกีฬาที่มีความน่าเชื่อถือ",อ.ธนวิทย์,1,ทุกกลุ่ม,10,มีการทัศนศึกษาภายนอกโรงเรียน,,,,,,,,,,,,,,✔,✔,,,,,,,
พ33262,การเป็นผู้ตัดสินฟุตบอล,1,2,"ศึกษาเกี่ยวกับการเป็นผู้ตัดสินฟุตบอลเป็นการจัดการเรียนรู้เกี่ยวกับการฝึกปฏิบัติจริงในการเป็นผู้ตัดสินฟุตบอล ทั้งในส่วนกติกาการแข่งขันอย่างละเอียด พื้นฐานของการเป็นผู้ตัดสินฟุตบอล หลักการตัดสินฟุตบอล ตลอดจนการเป็นผู้ตัดสินที่ดี โดยอาศัยทักษะ ความสามารถในการเล่นฟุตบอลที่เคยเรียนรู้มาต่อยอด โดยใช้การฝึกในรูปแบบต่าง ๆ เพื่อการเป็นผู้ตัดสินฟุตบอลที่ดีมีความรู้ความเข้าใจและเห็นคุณค่าของการเล่น
การจัดการผู้ตัดสินฟุตบอล สมรรถภาพทางกายที่ดี และสามารถนำความรู้ไปปฏิบัติและประยุกต์ใช้ในชีวิตประจำวันได้ ตลอดจนสามารถนำไปใช้เป็นประโยชน์ในอนาคตต่อไป",อ.พชรพล,1,ทุกกลุ่ม,25,-,,✔,✔,,,,,,,,,,,,,,,,,,,
,,,,,อ.วชิรวิทย์,2,ทุกกลุ่ม,25,,,,,,,,,,,,,,,,,,,,✔,✔,,
พ33233,แบดมินตันเพื่อสุขภาพ,1,2,"ศึกษาเกี่ยวกับกฎ กติกา รูปแบบวิธีการเล่น รวมทั้งคุณค่าของกีฬาแบดมินตัน และสามารถนำกีฬาแบดมินตันไปใช้ใน
การออกกำลังการเพื่อเสริมสร้างสุขภาพร่างกายในชีวิตประจำวัน รวมทั้งร่วมเล่นกับผู้อื่นด้วยความสนุกสนานและมีน้ำใจนักกีฬา",อ.วชิรวิทย์,1,ทุกกลุ่ม,20,-,,,,✔,✔,,,,,,,,,,,,,,,,,
,,,,,อ.ทินวัฒน์ ,2,ทุกกลุ่ม,20,,,,,,,,,,✔,✔,,,,,,,,,,,,
พ33281,พิคเคิลบอล,1,2,ศึกษาหลักการและกติกาการเล่นกีฬาพิคเคิลบอล ฝึกทักษะและเทคนิคการเล่นขั้นสูง การเคลื่อนไหวในสนาม การวางแผนกลยุทธ์ และการเล่นเป็นทีม พัฒนาการตัดสินใจ ความเป็นผู้นำ วินัย ความรับผิดชอบ และน้ำใจนักกีฬา เพื่อเสริมสร้างสมรรถภาพทางกายและการออกกำลังกายอย่างเหมาะสมและปลอดภัย,อ.ทินวัฒน์ ,1,ทุกกลุ่ม,15,-,,✔,✔,,,,,,,,,,,,,,,,,,,
พ33236,หลักการเสริมสร้างสมรรถภาพทางกาย,1,2,"ศึกษาหลักในการเสริมสร้างสมรรถภาพทางกาย รูปแบบต่างๆให้เหมาะสมตามเพศ และวัย ของตนเอง รวมการกำหนด
เป้าหมายในการดูแลและเสริมสร้างสมรรถภาพทางกายของตนเอง",อ.ทินวัฒน์ ,1,ทุกกลุ่ม,20,-,,,,,,,,,,,,,,,,,,,✔,✔,,
พ33263,นันทนาการเพื่อชีวิต 1,1,2,"ศึกษาเกี่ยวกับกิจกรรมนันทนาการ ความหมายและคุณค่า
ของกิจกรรมนันทนาการ ขอบข่ายของกิจกรรมนันทนาการ 
ความสำคัญของกิจกรรมนันทนาการ ความจำเป็นและประโยชน์ของกิจกรรมนันทนาการเพื่อส่งเสริมให้ผู้เรียนสามารถพัฒนาคุณภาพชีวิตให้สามารถดำรงชีวิตอยู่ได้อย่าง
มีความสุขและยั่งยืน",อ.ทรงพล,1,ทุกกลุ่ม,25,-,,,,✔,✔,,,,,,,,,,,,,,,,,
พ33276,"บาสเกตบอล 3 คนเพื่อ
การแข่งขัน",1,2,"ศึกษาวิเคราะห์ทักษะและกลยุทธ์การเล่นบาสเกตบอล 3 คนในระดับสูง โดยครอบคลุมกฎกติกามาตรฐานสากลของ FIBA ที่มีความเฉพาะตัว ทั้งในด้านเวลาการครอบครองบอล การนับคะแนน และการเปลี่ยนสถานะจากเกมรับเป็นเกมรุกอย่างรวดเร็ว ศึกษาหลักการสรีรวิทยาการเคลื่อนไหวที่จำเป็นสำหรับเกมที่มีความเข้มข้นสูง (High Intensity) รวมถึงการวิเคราะห์ทางสถิติและการใช้เทคโนโลยีเพื่อเพิ่มประสิทธิภาพในการเล่น ฝึกฝนทักษะเฉพาะเจาะจงระดับสูง อาทิ การยิงประตูระยะไกล (2 points) อย่างแม่นยำภายใต้การประกบ การใช้ทักษะการส่งและรับบอลในพื้นที่จำกัด การสร้างโอกาสทำคะแนนด้วยการใช้ Screen (Pick and Roll, Pick and Pop) และการเคลื่อนที่แบบไร้บอล (Off-ball movement) ที่ซับซ้อน ",อ.ฮานาฟีย์ ,1,ทุกกลุ่ม,20,-,,,,,,,,,,,,,,✔,✔,,,,,,,
,,,,,อ.สุพัฒน์พงศ์,2,ทุกกลุ่ม,20,,,,,,,,,,,,,,,,,,,,✔,✔,,
พ33259,กีฬาเทเบิลเทนนิส,1,2,"เรียนรู้และสนุกสนานกับการเล่นกีฬาเทเบิลเทนนิส โดยศึกษากฎ กติกา และมารยาทพื้นฐานอย่างง่าย ฝึกทักษะเบื้องต้น  
และการเคลื่อนไหวอย่างคล่องแคล่วผ่านกิจกรรมเกมและการฝึกปฏิบัติที่หลากหลาย เหมาะสมกับวัยและความสามารถ
ของผู้เรียน",อ.ดร.ชญาภัสร์ ,1,ทุกกลุ่ม,20,-,,,,,,,,,,,✔,✔,,,,,,,,,,
พ33282,มวยสากลพื้นฐาน,0.5,1,"ฝึกปฏิบัติมวยสากล พัฒนาความสัมพันธ์ของร่างกายและ
จิตใจ สร้างเสริมสมาธิในขณะเคลื่อนไหว และการตัดสินใจ
อย่างฉับพลัน ",อ.ชนนภัทร,1,ทุกกลุ่ม,20,-,,,,,,,,✔,,,,,,,,,,,,,,
พ33283,"ทักษะการป้องกันตัวใน
ชีวิตประจำวัน",0.5,1,พัฒนาทักษะ ความคิด และสร้างสัญชาตญาณในการป้องกันตัวจากภัยคุกคามในชีวิตประจำวัน,อ.ชนนภัทร,1,ทุกกลุ่ม,20,-,,,,,,,,,,,,,,,,,,,,,,✔
กลุ่มสาระการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ศ30269,ทักษะดนตรีไทยขั้นสูง,1,2,ศึกษาพื้นฐานดนตรีไทย ได้แก่ ประเภทและลักษณะเครื่องดนตรี การอ่านเขียนโน้ตไทย การฟังและวิเคราะห์องค์ประกอบดนตรี ฝึกทักษะบรรเลงรายบุคคล พัฒนาเทคนิคควบคุมจังหวะ น้ำหนักเสียง และความถูกต้อง ฝึกบรรเลงรวมวงอย่างเป็นระบบ เพื่อนำเสนอผลงานอย่างเหมาะสม ปลูกฝังเจตคติที่ดีต่อศิลปวัฒนธรรมไทย และประยุกต์ใช้ทักษะดนตรีไทยในชีวิตหรืออาชีพได้อย่างเหมาะสม,อ.สโรชา,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6",,,,,,,,,,,,,,,,✔,✔,,,,,
ศ30265,ปฏิบัติการเครื่องดนตรีตามความถนัด,1,2,ศึกษาการบรรเลงเครื่องดนตรีที่ใช้ในวงโยธวาทิตของโรงเรียน ในระดับมาตรฐานสากล,อ.สุปัฏฐ์,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, เฉพาะนักเรียน
วงโยธวาทิตที่ผ่าน
การคัดเลือก",,,,,,,,,,,,,,,,✔,✔,,,,,
ศ30257,ต่อยอดงานศิลป์ผ่านอาร์ตแล็บ,1,2,"ศึกษาและสร้างสรรค์ศิลปะผ่านกิจกรรมที่ใช้วัสดุและเทคนิคหลากหลาย ฝึกการคิด ออกแบบ และพัฒนาทักษะศิลปะ
รวมถึงศิลปะดิจิทัล ผ่านการทำโปรเจกต์ตามความถนัดและความสนใจ",อ.วนาลี,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท, มีการทัศนศึกษาภายนอกโรงเรียน",,,,,,,,,,,,,,,,✔,✔,,,,,
ศ30261,"ออกแบบและสังเคราะห์
ความคิดทางศิลปะ",1,2,ศึกษาแนวคิด กระบวนการคิดสร้างสรรค์ และการสังเคราะห์องค์ความรู้เพื่อพัฒนาแนวคิดทางศิลปะที่มีความลุ่มลึกและเป็นระบบ ผู้เรียนจะได้เรียนรู้หลักทัศนธาตุ องค์ประกอบศิลป์ ทฤษฎีทางศิลปะร่วมสมัย ตลอดจนวิธีการเชื่อมโยงประสบการณ์ ข้อมูล และแรงบันดาลใจเข้าสู่การสร้างสรรค์แนวคิดเชิงศิลปะที่มีเอกลักษณ์,อ.อัฐพล,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท, มีการทัศนศึกษาภายนอกโรงเรียน",,,,,,,,,,,,,,,,✔,✔,,,,,
ศ30273,ทักษะประกวดดนตรีไทยขั้นสูง,1,2,"ศึกษาทักษะการประกวดดนตรีไทย โดยเฉพาะพื้นฐานการบรรเลง ในเครื่องดนตรีไทยทุกชนิด รวมไปถึงการออกแบบแนวทางการประกวด การศึกษาอ่านโน้ตเพลง แนวทางวาง
ตารางการฝึกฝน และการมีสมาธิจดจ่อกับการบรรเลงดนตรีในรูปแบบการบรรเลงขั้นสูง และพัฒนาไปสู่ทักษะระดับมืออาชีพผ่านการเรียนแบบลงมือปฏิบัติจริง โดยมีวิทยากรคอยให้
คำปรึกษา และแนะแนวทางการปฏิบัติ เพื่อเตรียมความพร้อมสำหรับประกวดดนตรี และพัฒนาความเข้าใจหลักการประกวดตามเกณฑ์ที่ถูกต้องและเหมาะสมกับรายการนั้น ๆ ",อ.ภูวิศ,1,ทุกกลุ่ม,7,"เรียนรวม
ม.4-6, เฉพาะนักดนตรีไทยที่ผ่านคัดเลือก",,,,,,,,,,,,,,,,✔,✔,,,,,
ศ33243,ความถนัดทางสถาปัตยกรรมศาสตร์,1,2,ศึกษาองค์ความรู้ที่เกี่ยวข้องกับงานทางสถาปัตยกรรมศาสตร์ และพัฒนาความถนัดทางสถาปัตยกรรม เพื่อเตรียมความพร้อมในการเข้าศึกษาต่อ ,อ.วิวัฒน์,1,ทุกกลุ่ม,25,-,,,,,,,,,✔,✔,,,,,,,,,,,,
ศ30251,เซรามิกเบื้องต้น,1,2,ศึกษาความเป็นมาของเซรามิก (เครื่องปั้นดินเผา) และได้ฝึกทักษะ การคิดการออกแบบ การปั้นชิ้นงานด้วยวัสดุดิน และกระบวนการเผา เพื่อให้ออกมาเป็นผลิตภัณฑ์ตามแนวคิดของนักเรียนเอง,อ.สมศักดิ์,1,ทุกกลุ่ม,20,มีค่าใช้จ่ายสำหรับอุปกรณ์ไม่เกิน 500 บาท,,,,,,,,,,,,,,,,✔,✔,,,,,
ศ30252,การถ่ายภาพเพื่อการโฆษณา,1,2,"ศึกษาพื้นฐานการถ่ายภาพเบื้องต้น เทคนิคกล้องและไฟ 
แสงธรรมชาติ การผสมแสง และการจัดองค์ประกอบของ
การถ่ายภาพแฟชั่นและภาพบุคคล ","อ.เด่นสิน / อ.วรัท 
/ อ.กานต์ / 
อ.สิทธิกร",1,ทุกกลุ่ม,10,-,,,,,,,,,,,,,,,,✔,✔,,,,,
กลุ่มสาระการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ง33263,ประดิษฐ์ง่ายๆ ด้วยตนเอง,1,2,"ศึกษาความหมาย  ความสำคัญ ประเภท ประโยชน์ การเลือกใช้วัสดุ อุปกรณ์ วิธีการขั้นตอนของกระบวนการประดิษฐ์  ผู้เรียนเรียนรู้วิธีการ ขั้นตอนการประดิษฐ์ชิ้นงานด้วยตนเอง โดยเน้นกระบวนการลงมือปฏิบัติ และการใช้ความคิดสร้างสรรค์ใน
การประดิษฐ์ชิ้นงาน",อ.รัชดาวัลย์,1,ทุกกลุ่ม,25,-,,,,,,,,,,,,,,✔,✔,,,,,,,
,,,,,อ.รัชดาวัลย์,2,ทุกกลุ่ม,25,,,,,✔,✔,,,,,,,,,,,,,,,,,
ง30291,ขนมไทยอะไรเอ่ย,1,2,ศึกษาประวัติขนมไทย ประเภท วัตถุดิบ  ในการทำขนมไทย การใช้และการเก็บรักษาเครื่องมือเครื่องใช้ในการทำขนมไทย การทำบัญชีรายรับ-รายจ่าย คิดราคาต้นทุนและการกำหนด ราคาขาย ฝึกทักษะการทำขนมไทย ,อ.ศิรดา,1,ทุกกลุ่ม,20,-,,,,,,,,,,,,,,✔,✔,,,,,,,
ง30278,เครื่องประดับทำมือ,1,2,"เรียนรู้และฝึกปฏิบัติกระบวนการทำเครื่องประดับ 
การออกแแบบเครื่องประดับให้เหมาะกับกลุ่มเป้าหมาย 
การเลือกใช้วัสดุอุปกรณ์ ปฏิบัติงานตามแผนที่วางไว้ มี
แนวทางในการประกอบอาชีพ",อ.ศยามล,1,ทุกกลุ่ม,25,-,,,,,,,,,,,✔,✔,,,,,,,,,,
,,,,,อ.ศยามล,2,ทุกกลุ่ม,25,,,,,,,,,,,,,,,,,✔,✔,,,,,
ง30296,เพิ่มคุณค่าให้ผ้าแบบอาร์ตๆ,1,2,"เรียนรู้และฝึกปฏิบัติการเพิ่มมูลค่าผ้า ด้วยเทคนิคต่าง ๆ เช่น การมัดย้อม มั้ดเพนท์ MARBING ART ECO PRINT 
การออกแแบบให้เหมาะกับกลุ่มเป้าหมาย การเลือกใช้วัสดุอุปกรณ์ มีแนวทางในการประกอบอาชีพ",อ.ศยามล,1,ทุกกลุ่ม,10,-,,,,,,✔,✔,,,,,,,,,,,,,,,
,,,,,อ.ศยามล,2,ทุกกลุ่ม,10,,,,,,,,,,,,,,,✔,✔,,,,,,,
ง30299,กราฟิกพลิกอาชีพ,1,2,ศึกษาขั้นตอนกระบวนการสร้างภาพกราฟิกด้วยโปรแกรม Adobe Illustartor เสริมสร้างทักษะทางอาชีพในการทำงานด้านการออกแบบกราฟิก การประยุกต์ใช้ภาพ 2 มิติในการทำงาน อาทิ การออกแบบเว็บไซต์ และการสร้างภาพเคลื่อนไหว เพื่อตอบรับกับอาชีพใหม่ ๆ ที่เกิดขึ้นในสังคม,อ.วนาลี,1,ทุกกลุ่ม,17,-,,,,,,,,,,,✔,✔,,,,,,,,,,
,,,,,อ.วนาลี,2,ทุกกลุ่ม,17,,,,,,,,,,,,,,,,,,,,✔,✔,,
ง30274,นวัตกรรมการแปรรูปผลผลิตทางการเกษตร,1,2,"ศึกษาแนวคิดและหลักการแปรรูปผลผลิตทางการเกษตร 
โดยเน้นการปฏิบัติจริงอย่างเป็นระบบ เรียนรู้การถนอมอาหาร การเพิ่มมูลค่า การคำนวณต้นทุน และแนวคิดนวัตกรรมอาหาร ฝึกออกแบบและพัฒนาผลิตภัณฑ์อย่างสร้างสรรค์ โดยคำนึงถึงคุณภาพ ความปลอดภัย และการใช้ทรัพยากรอย่างคุ้มค่า 
เพื่อประยุกต์ใช้ในชีวิตประจำวันและต่อยอดเชิงอาชีพ
ได้อย่างเหมาะสม",อ.ดร.อริสา,1,ทุกกลุ่ม,20,-,,,,,,,,,✔,✔,,,,,,,,,,,,
ง33283,การจัดการธุรกิจดิจิทัล,1,2,ศึกษาถึงเรื่องของธุรกิจในยุคดิจิทัล แนวคิด Digital Transformation กรณีศึกษาธุรกิจที่ทำ Digital Transformation หลักการ Digital Transformation Canvas สื่อดิจิทัลและเทคโนโลยีต่อส่วนผสมทางการตลาด บทบาทของการตลาดดิจิทัล และคำศัพท์ในการตลาดดิจิทัล ผลกระทบของสื่อดิจิทัลและเทคโนโลยีต่อส่วนผสมทางการตลาด การตลาดสื่อสังคมออนไลน์ กลยุทธ์การตลาดดิจิทัล การวัดผลการตลาดดิจิทัล,อ.ดร.อุษาสุดา,1,ทุกกลุ่ม,25,ต้องมีคอมพิวเตอร์พกพา หรือ iPad,,✔,✔,,,,,,,,,,,,,,,,,,,
ง33284,"ก้าวแรกสู่ลูกเรือสายการบิน
มืออาชีพ ",1,2,"ศึกษาเส้นทางสู่อาชีพลูกเรือ แนะนำเกี่ยวกับการเตรียมตัว
ด้านภาษา และบุคลิกภาพ เรียนรู้ประสบการณ์ทำงานบน
เครื่องบินและสายการบิน","อ.ธีรภัทร / อ.กีรฏิ / อ.ปรเมศวร์ / 
อ.ลีลาวดี ",1,ทุกกลุ่ม,30,-,,,,,,,,,,,,,,,,,,,✔,✔,,
ง33243 ,การแปรรูปผลผลิต,1,2,"ศึกษาการนำผลผลิตมาแปรรูปเป็นผลิตภัณฑ์ที่เป็นประโยชน์ต่อเกษตรกรและผู้บริโภค เพิ่มมูลค่าให้กับผลผลิตและ
แก้ปัญหาผลผลิตล้นตลาด",อ.ทิพวัลย์ ,1,ทุกกลุ่ม,20,มีค่าใช้จ่ายสำหรับอุปกรณ์ไม่เกิน 500 บาท,,,,✔,✔,,,,,,,,,,,,,,,,,
ง33285,"ความถนัดครุศาสตร์และ
ศึกษาศาสตร์",1,2,ศึกษาพื้นฐานทางศึกษาศาสตร์และครุศาสตร์ตามกรอบเนื้อหาที่ใช้ประเมินในข้อสอบความถนัดทางครุศาสตร์ ,อ.ดร.จิระ,1,ทุกกลุ่ม,30,-,,,,✔,✔,,,,,,,,,,,,,,,,,
ง30222,การถ่ายภาพและตัดต่อดิจิทัล,1,2,ฝึกทักษะปฏิบัติและเรียนรู้การใช้อุปกรณ์ถ่ายภาพ หลักการในการถ่ายภาพ และการจัดองค์ประกอบภาพ,ผศ. ดร.นาถวดี ,1,ทุกกลุ่ม,20,-,,,,,,✔,✔,,,,,,,,,,,,,,,
"กลุ่มสาระการเรียนรู้
ภาษาต่างประเทศ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ฝ33201,ภาษาฝรั่งเศส 5,3,6,ศึกษาการใช้ภาษาฝรั่งเศสในสถานการณ์ต่าง ๆ ที่ข้องกับชีวิตประจำวัน สื่อสาร อ่านออก เสียง และสร้างประโยคได้ถูกต้องตามหลักไวยกรณ์และการออกเสียงเข้าใจความเหมือนและความแตกต่างระหว่างวัฒนธรรมฝรั่งเศสกับวัฒนธรรมไทย และตระหนักในประโยชน์และคุณค่าของการเรียนภาษาและวัฒนธรรมฝรั่งเศส รวมถึงใช้ภาษาฝรั่งเศสในการสืบค้น ค้นคว้า รวบรวมและสรุปข้อมูล ข้อเท็จจริงจากสื่อและแหล่งเรียนรู้ต่าง ๆ โดยผ่านกระบวนการทางภาษา ได้แก่ ฟัง พูด อ่าน และเขียน การสังเกต การวิเคราะห์ การสืบเสาะหาความรู้ กระบวนการกลุ่ม ด้วยการถ่ายโอนความรู้เป็นประโยคง่าย ๆ และข้อความสั้น ๆ,อ.ณิชาภัทร,1,ศิลป์-ฝรั่งเศส,10,-,✔,,,,,,,✔,,,,,,✔,✔,,,,✔,✔,,
ย33201,ภาษาเยอรมัน 5,3,6,"ศึกษาคำศัพท์ วลี สำนวน โครงสร้างประโยคภาษาเยอรมัน 
ฝึกทักษะการฟัง พูด อ่าน เขียน ภาษาเยอรมันที่ใช้ในชีวิตประจำวัน บรรยายประสบการณ์ แสดงความคิดเห็นเกี่ยวกับสถานการณ์แวดล้อมรอบตัว เหตุการณ์ในความสนใจของสังคม และโลก การเข้าใจความเหมือนความแตกต่างระหว่างภาษาและวัฒนธรรมเยอรมันกับไทย ตระหนักในประโยชน์และคุณค่าของการเรียนภาษาและวัฒนธรรมเยอรมัน ตลอดจนเข้าร่วมหรือจัดกิจกรรมทางภาษาและวัฒนธรรมตามความสนใจและใช้ภาษาเยอรมันในการสืบค้น ค้นคว้า รวบรวมและสรุปข้อมูล ข้อเท็จจริงที่เกี่ยวกับกลุ่มสาระการเรียนรู้อื่น/ความรู้ ข้อมูล จากสื่อและแหล่งเรียนรู้ต่างๆ",ผศ.รัตนา,1,ศิลป์-เยอรมัน,10,-,✔,,,,,,,✔,,,,,,✔,✔,,,,✔,✔,,
จ33201,ภาษาจีน 5,3,6,"ศึกษาทักษะการพูดขอข้อมูลและให้ข้อมูลเกี่ยวกับสิ่งรอบตัวและบุคคลที่พบเห็นในชีวิตประจำวันได้อย่างง่าย สามารถพูดสนทนาสื่อสารตามสถานการณ์จำลองที่กำหนด เกี่ยวกับการซื้อ-ขาย ลักษณะของบุคคล เข้าใจข้อความที่ฟัง และสามารถออกเสียงคำวลีข้อความและบทความได้ถูกต้องตามหลักการ
ออกเสียงอ่านและแปลความหมายจากประโยคสั้นๆ สามารถแสดงความเห็นเกี่ยวกับบทสนทนานิทานและเรื่องสั้นตาม
ความสนใจพร้อมทั้งเสนอความคิดรวบยอดที่มีต่อเหตุการณ์หรือเรื่องราวอย่างสร้างสรรค์และเรียนรู้วัฒนธรรมจีน โดยผ่านทางการใช้ภาษาเพื่อแสดงความสัมพันธ์ระหว่างบุคคล","อ.ถาน / 
อ.ดร.ชัญญภัค",1,ศิลป์-จีน,10,-,✔,,,,,,,✔,,,,,,✔,✔,,,,✔,✔,,
