รายวิชาเพิ่มเติม ม.4  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,อังคาร,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,
ว30237,พื้นฐานการเขียนโปรแกรมภาษาซี,1,2,"ศึกษาและปฏิบัติเกี่ยวกับความรู้เบื้องต้นของระบบคอมพิวเตอร์ หลักการเขียนโปรแกรมคอมพิวเตอร์ หลักการวิธีการออกแบบและพัฒนาโปรแกรมคอมพิวเตอร์พื้นฐานทางเทคโนโลยี และวิศวกรรม ศึกษาเรียนรู้การเขียนผังงาน (Flowchart) เพื่อช่วยในการออกแบบและการเขียนโปรแกรม การศึกษาไวยากรณ์ของภาษาซี (C) โครงสร้างของข้อมูลและตัวแปร การดำเนินการทางคณิตศาสตร์และตรรกศาสตร์เชิงตัวเลข กระบวนการการทำงานแบบตัดสินใจ การทำซ้ำ 
งานฟังก์ชั่น การวิเคราะห์โจทย์ปัญหา การออกแบบอัลกอริทึม งานการเขียนโปรแกรมควบคุมไมโครคอลโทลเลอร์ (Arduino)เบื้องต้น และโครงงานสิ่งประดิษฐ์ควบคุมด้วยโปรแกรมคอมพิวเตอร์",อ.อมรินทร์,1,วิทย์-คณิต,25,-,,,,,,,,,,,✔,✔,,,,
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,,,,,,,,,,
ส30208,การเมืองเรื่องใกล้ตัว,1,2,"ศึกษาประวัติศาสตร์การปกครองของไทยโดยสังเขปในเรื่อง กระบวนการ นโยบายการบริหารประเทศ รูปแบบการบริหารประเทศ แนวคิดและทฤษฎีด้านการเมืองการปกครอง วิวัฒนาการของระบบการปกครองของประเทศไทย รัฐธรรมนูญและหลักกฎหมายที่ใช้เป็นข้อบังคับสูงสุดใน
การปกครอง บริบทการเมืองโลกกับการเปลี่ยนแปลงการเมืองการปกครองของประเทศไทย รูปแบบและอำนาจหน้าที่ของรัฐสภา รัฐบาล และศาล ในการเมืองยุคปัจจุบัน รวมถึงอิทธิพลของการเมืองการปกครองที่ส่งผลต่อการดำเนินชีวิตของประชาชนไทย",อ.บุญฤทธิ์,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,,,✔,✔
ส30210,ถอดรหัสไทย,1,2,"ศึกษาเกร็ดความรู้เกี่ยวกับค่านิยม ธรรมเนียม ประเพณี จารีต ศิลปะ และความเชื่อในสังคมไทย ปัจจัยที่มีส่วนใน
การสร้างสรรค์ความเป็นไทย ศึกษาจากการถอดประสบการณ์ความเป็นไทยในสังคมรอบตัวและชีวิตประจำวัน",อ.พงษ์ภัค,1,ทุกกลุ่ม,35,-,,,,,,,,,,,✔,✔,,,,
ส30217,บอร์ดเกมเพื่อสังคม,1,2,"ศึกษาองค์ประกอบสำคัญของบอร์ดเกม  กระบวนการผลิตเกมอย่างเป็นระบบ ตั้งแต่การวางโครงสร้างไปจนถึงการสร้าง
ชิ้นงานจริง  ผ่านการสืบค้น  การวิเคราะห์สถานการณ์และปัญหาสำคัญที่โลกปัจจุบันกำลังเผชิญ  การออกแบบอย่างสร้างสรรค์ ลงมือสร้างต้นแบบ เพื่อทดลองเล่น และนำเสนอองค์ความรู้ทางสังคมศึกษาผ่านบอร์ดเกมที่สร้างขึ้น เพื่อสร้างความเข้าใจในมิติต่างๆ ของสังคมไทยและสังคมโลก",อ.สิริภัทร,1,ทุกกลุ่ม,25,-,,✔,✔,,,,,,,,,,,,,
ส30229,มองสังคมผ่านกีฬา,0.5,1,"ศึกษาปัจจัยทางภูมิศาสตร์ที่มีผลต่อการกำเนิดกีฬา บทบาทของกีฬาที่มีต่อการเมืองการปกครอง เศรษฐกิจ สังคมวัฒนธรรม กีฬากับการเผยแพร่วัฒนธรรม กีฬาสมัยใหม่ในบริบทนานาชาติ แฟนกีฬา กีฬาในโลกร่วมสมัย กีฬากับ
การสร้างมูลค่าเพิ่มทางเศรษฐกิจและสังคม การสร้างทัศนคติ
ที่ดีในการเข้าสังคม การกีฬากับประเด็นทางสังคม",อ.บุญฤทธิ์,1,ทุกกลุ่ม,35,-,✔,,,,,,,,,,,,,,,
ส30232,รู้รอบรัฐและสวัสดิการ,1,2,"ศึกษาความรู้เบื้องต้นเกี่ยวกับรัฐและสวัสดิการสังคม 
ความหมาย ความสำคัญของรัฐ รูปแบบของการจัดสวัสดิการโดยรัฐ กรณีศึกษาเกี่ยวกับการจัดรัฐสวัสดิการในแต่ละประเทศ พัฒนาการของรัฐสวัสดิการและขบวนการแรงงานในไทย และสวัสดิการสังคมของไทยในปัจจุบัน",อ.สรายุทธ,1,ศิลป์,35,-,,,,,,,,,,,,,✔,✔,,
ส30233,รู้สู้โลกร้อนและภัยพิบัติ,0.5,1,"ศึกษาสถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศ สาเหตุ
และผลกระทบต่อความมั่นคงด้านน้ำ อาหาร สุขภาพและ
ระบบนิเวศของไทยและโลก การปรับเปลี่ยน รับมือกับ
การเปลี่ยนแปลงจากการเปลี่ยนแปลงสภาพภูมิอากาศ แนวทางหรือขั้นตอนของการลดความเสี่ยงภัยจากภัยพิบัติ
การป้องกันตนและเตรียมความพร้อมก่อน ระหว่างและหลังการเกิดภัยพิบัติประเภทต่าง ๆ ได้",อ.วิทวัส,1,ทุกกลุ่ม,35,-,✔,,,,,,,,,,,,,,,
ส30247,หลักกฎหมายเบื้องต้น,1,2,ศึกษาความรู้เบื้องต้นเกี่ยวกับกฎหมาย ที่เกี่ยวข้องกับตนเอง ชุมชน และสังคม การปฏิบัติตนภายใต้บทบาทหน้าที่ต่าง ๆ ตระหนักถึงความสำคัญของการปฏิบัติตนตามกฎหมาย และสามารถดำเนินชีวิตประจำวันได้อย่างเหมาะสมในฐานะพลเมืองที่ดี,อ.สรายุทธ,1,ทุกกลุ่ม,35,-,,,,,,,,,✔,✔,,,,,,
"กลุ่มสาระการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,,,,,,,,,,
