รายวิชาเพิ่มเติม ม.1  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,จันทร์,พุธ,พุธ,พฤหัสบดี,พฤหัสบดี,ศุกร์,ศุกร์
ว20211,"ดาราศาสตร์ภาคคำนวณ
ขั้นพื้นฐาน",0.5,1,"ศึกษาเกี่ยวกับคณิตศาสตร์และฟิสิกส์ที่เป็นพื้นฐานขั้นต้นสำหรับการเรียนรู้ดาราศาสตร์ภาคคำนวณ การบวกลบคูณหารเลขยกกำลัง การแก้สมการตัวแปรเดียว การแก้สมการสองตัวแปร ทฤษฎีบทพิธากอรัส ตรีโกณมิติ กราฟเส้นตรงและ
การหาความชัน วงกลม วงรี การแปลงหน่วยและคำอุปสรรค หน่วยทางฟิสิกส์ กฎนิวตัน กฎแรงโน้มถ่วงสากล อัตราเร็ว ความเร็ว ความเร่ง คลื่นแม่เหล็กไฟฟ้า พลังงานกล และการรวมเวกเตอร์",อ.วิทยา,1,35,-,,✔,,,,,,
ว20218,วิทยาศาสตร์คิดสร้างสรรค์,1,2,"วิเคราะห์สถานการณ์ ออกแบบแนวทางการแก้ปัญหาผ่าน
การสืบค้นข้อมูล โดยบูรณาการความรู้ทางวิทยาศาสตร์และเทคโนโลยี ในการสร้างชิ้นงานเพื่อแก้ปัญหาได้อย่างสร้างสรรค์",อ.จารุภา,1,30,-,,,,,✔,✔,,
ว20225,เทคโนโลยีในชีวิตประจำวัน,1,2,"ศึกษาการใช้งานโปรแกรมจัดการข้อมูลและสารสนเทศ เช่น โปรแกรมจัดการเอกสาร โปรแกรมจัดการตารางข้อมูล โปรแกรมสร้างงานนำเสนอ ฯลฯ เพื่อให้นักเรียนสามารถใช้จัดการงานในชีวิตประจำวันและต่อยอดสู่การประกอบอาชีพ
ในอนาคตได้",อ.จิรัชยา,1,25,-,,,✔,✔,,,,
ว20207,"การออกแบบและผลิตโมเดล
สามมิติ",1,2,เรียนรู้พื้นฐานโมเดลสามมิติแบบต่าง ๆ วิธีการผลิตจากโมเดลสามมิติ การใช้งานโปรแกรม Autodesk Fusion 360 เทคนิคการออกแบบเพื่อการพิมพ์สามมิติ และการขึ้นรูปโดย CNC machine,อ.สมโรจน์,1,17,-,,,✔,✔,,,,
ว20226,บอร์ดอิเล็กทรอนิกส์สร้างสรรค์,1,2,เรียนรู้อุปกรณ์ไฟฟ้าอิเล็กทรอนิกส์พื้นฐานและการต่อวงจร การใช้งานเซนเซอร์ แอคชูเอเตอร์ สำหรับสร้างชิ้นงานที่ทำงานแบบอัตโนมัติโดยไม่ต้องเขียนโปรแกรม ,ผศ. ดร.ชยการ,1,20,-,✔,✔,,,,,,
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,
ส20203,ถอดรหัสวิถีไทย,1,2,"ศึกษาที่มาของค่านิยม ความเชื่อ ขนบประเพณีไทย ปัจจัยที่
ก่อกำเนิดและการเปลี่ยนแปลงทางวัฒนธรรมไทย การเลือกรับวัฒนธรรมสากล โดยศึกษาจากกรณีตัวอย่างในชีวิตประจำวันของนักเรียน ครอบครัว และชุมชน และการทัศนศึกษาแหล่งเรียนรู้วัฒนธรรมในชุมชน",อ.วิทวัส,1,10,มีการทัศนศึกษาภายนอกโรงเรียน,,,✔,✔,,,,
ส20204,ท้องถิ่นของเรา,1,2,ศึกษาสิ่งแวดล้อมทางธรรมชาติและสังคม วัฒนธรรม ขนบธรรมเนียมประเพณีการดำเนินชีวิต ตลอดจนการประกอบอาชีพของกลุ่มคนต่าง ๆ และความสัมพันธ์ของสังคมและวัฒนธรรมที่เกิดขึ้นในชุมชน 5ส “สีลม-สยาม-สามย่าน-สวนลุม-สวนหลวง”,อ.บุญฤทธิ์,1,10,มีการทัศนศึกษาภายนอกโรงเรียน,,,✔,✔,,,,
ส20207,ประเทศของเรา,1,2,"ศึกษาสิ่งแวดล้อมทางธรรมชาติและสังคม วัฒนธรรม ขนบธรรมเนียมประเพณี การดำเนินชีวิต ตลอดจน
การประกอบอาชีพของกลุ่มคนต่าง ๆ และความสัมพันธ์
ของสังคมและวัฒนธรรมของประเทศไทย",อ.วันทนา,1,35,-,,,,,✔,✔,,
"กลุ่มสาระการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,
พ20254,แฮนด์บอลขั้นต้น 1,1,2,"ศึกษาการจัดรูปแบบกระบวนการศึกษาที่ใช้กิจกรรมแฮนด์บอลเป็นสื่อการเรียนรู้เพื่อให้นักเรียนพัฒนาการด้านสมรรถภาพทางกาย ทักษะการเคลื่อนไหวของส่วนต่างๆของร่างกาย และทักษะกีฬา มีความรู้ความสามารถในวิธีการเล่นกีฬาแฮนด์บอล การออกกำลังกาย มีคุณธรรมประจำตัว และมีเจตคติที่ดีใน
การเล่นกีฬา และการออกกำลังกายด้วยการได้ปฏิบัติในกิจกรรมต่างๆ ในกีฬาแฮนด์บอลด้วยตนเอง",อ.ดร.ฐิติวัสส์ ,1,25,-,,,✔,✔,,,,
